№,Команда,И,В,Н,П,Г,Пр,+/-,О,Ссылка
1,АйДрайвер,9,8,0,1,61,21,40,24,https://bmfl.ru/team/%d0%b0%d0%b9%d0%b4%d1%80%d0%b0%d0%b9%d0%b2%d0%b5%d1%80/
2,Скиф,10,6,3,1,54,37,17,21,https://bmfl.ru/team/%d1%81%d0%ba%d0%b8%d1%84/
3,Милет,10,6,2,2,39,25,14,20,https://bmfl.ru/team/%d0%bc%d0%b8%d0%bb%d0%b5%d1%82/
4,МФК Звезда,9,5,2,2,25,17,8,17,https://bmfl.ru/team/%d0%bc%d1%84%d0%ba-%d0%b7%d0%b2%d0%b5%d0%b7%d0%b4%d0%b0/
5,Титан Саввино,10,4,1,5,29,31,-2,13,https://bmfl.ru/team/%d1%82%d0%b8%d1%82%d0%b0%d0%bd-2/
6,Астраханка,10,4,1,5,22,27,-5,13,https://bmfl.ru/team/%d0%b0%d1%81%d1%82%d1%80%d0%b0%d1%85%d0%b0%d0%bd%d0%ba%d0%b0/
7,Сокол,10,3,1,6,30,47,-17,10,https://bmfl.ru/team/%d1%81%d0%be%d0%ba%d0%be%d0%bb/
8,Швеция,10,3,0,7,38,51,-13,9,https://bmfl.ru/team/%d1%88%d0%b2%d0%b5%d1%86%d0%b8%d1%8f/
9,Спарта-2,10,2,1,7,20,40,-20,7,https://bmfl.ru/team/%d1%81%d0%bf%d0%b0%d1%80%d1%82%d0%b0-2015-2-2/
10,Империал,10,2,1,7,22,44,-22,7,https://bmfl.ru/team/%d0%b8%d0%bc%d0%bf%d0%b5%d1%80%d0%b8%d0%b0%d0%bb/
